"id","vote_id","voting_choice_id","alternative_ordinal","create_time","update_time"
"450","243","6","0","2018-06-12 16:00:38","2018-06-12 16:00:38"
"451","243","2","1","2018-06-12 16:00:38","2018-06-12 16:00:38"
"452","244","6","0","2018-06-12 16:06:02","2018-06-12 16:06:02"
"453","244","4","1","2018-06-12 16:06:02","2018-06-12 16:06:02"
"454","245","5","0","2018-06-12 16:24:39","2018-06-12 16:24:39"
"455","246","6","0","2018-06-12 16:25:08","2018-06-12 16:25:08"
"456","246","4","1","2018-06-12 16:25:08","2018-06-12 16:25:08"
"457","247","6","0","2018-06-12 16:26:03","2018-06-12 16:26:03"
"458","247","4","1","2018-06-12 16:26:03","2018-06-12 16:26:03"
"459","248","6","0","2018-06-12 16:28:04","2018-06-12 16:28:04"
"460","248","4","1","2018-06-12 16:28:04","2018-06-12 16:28:04"
"461","249","2","0","2018-06-12 16:35:06","2018-06-12 16:35:06"
"462","249","3","1","2018-06-12 16:35:06","2018-06-12 16:35:06"
"463","250","6","0","2018-06-12 16:35:35","2018-06-12 16:35:35"
"464","250","4","1","2018-06-12 16:35:35","2018-06-12 16:35:35"
"465","251","4","0","2018-06-12 16:46:56","2018-06-12 16:46:56"
"466","251","6","1","2018-06-12 16:46:56","2018-06-12 16:46:56"
"467","252","4","0","2018-06-12 16:49:49","2018-06-12 16:49:49"
"468","252","6","1","2018-06-12 16:49:49","2018-06-12 16:49:49"
"469","253","4","0","2018-06-12 16:55:01","2018-06-12 16:55:01"
"470","253","6","1","2018-06-12 16:55:01","2018-06-12 16:55:01"
"471","254","6","1","2018-06-12 16:57:45","2018-06-12 16:57:45"
"472","254","2","0","2018-06-12 16:57:45","2018-06-12 16:57:45"
"473","255","6","0","2018-06-12 16:58:11","2018-06-12 16:58:11"
"474","255","4","1","2018-06-12 16:58:11","2018-06-12 16:58:11"
"475","256","2","0","2018-06-12 17:05:16","2018-06-12 17:05:16"
"476","256","6","1","2018-06-12 17:05:16","2018-06-12 17:05:16"
"477","257","6","0","2018-06-12 17:06:52","2018-06-12 17:06:52"
"478","257","4","1","2018-06-12 17:06:52","2018-06-12 17:06:52"
"479","258","6","1","2018-06-12 17:07:18","2018-06-12 17:07:18"
"480","258","4","0","2018-06-12 17:07:18","2018-06-12 17:07:18"
"481","259","6","0","2018-06-12 17:09:53","2018-06-12 17:09:53"
"482","259","2","1","2018-06-12 17:09:53","2018-06-12 17:09:53"
"483","260","6","0","2018-06-12 17:10:03","2018-06-12 17:10:03"
"484","261","6","0","2018-06-12 17:10:18","2018-06-12 17:10:18"
"485","261","2","1","2018-06-12 17:10:18","2018-06-12 17:10:18"
"486","262","6","0","2018-06-12 17:10:39","2018-06-12 17:10:39"
"487","262","4","1","2018-06-12 17:10:39","2018-06-12 17:10:39"
"488","263","6","0","2018-06-12 17:11:02","2018-06-12 17:11:02"
"489","263","4","1","2018-06-12 17:11:02","2018-06-12 17:11:02"
"490","264","6","0","2018-06-12 17:11:20","2018-06-12 17:11:20"
"491","264","4","1","2018-06-12 17:11:20","2018-06-12 17:11:20"
"492","265","2","0","2018-06-12 17:12:45","2018-06-12 17:12:45"
"493","265","3","1","2018-06-12 17:12:45","2018-06-12 17:12:45"
"494","266","2","1","2018-06-12 17:13:27","2018-06-12 17:13:27"
"495","266","6","0","2018-06-12 17:13:27","2018-06-12 17:13:27"
"496","267","6","0","2018-06-12 17:15:09","2018-06-12 17:15:09"
"497","267","4","1","2018-06-12 17:15:09","2018-06-12 17:15:09"
"498","268","4","0","2018-06-12 17:17:25","2018-06-12 17:17:25"
"499","268","6","1","2018-06-12 17:17:25","2018-06-12 17:17:25"
"500","269","4","0","2018-06-12 17:18:47","2018-06-12 17:18:47"
"501","269","3","1","2018-06-12 17:18:47","2018-06-12 17:18:47"
"502","270","4","0","2018-06-12 17:19:12","2018-06-12 17:19:12"
"503","270","3","1","2018-06-12 17:19:12","2018-06-12 17:19:12"
"504","271","4","1","2018-06-12 17:20:46","2018-06-12 17:20:46"
"505","271","6","0","2018-06-12 17:20:46","2018-06-12 17:20:46"
"506","272","6","0","2018-06-12 17:22:08","2018-06-12 17:22:08"
"507","272","5","1","2018-06-12 17:22:08","2018-06-12 17:22:08"
"508","273","2","0","2018-06-12 17:22:24","2018-06-12 17:22:24"
"509","273","3","1","2018-06-12 17:22:24","2018-06-12 17:22:24"
"510","274","3","1","2018-06-12 17:22:37","2018-06-12 17:22:37"
"511","274","2","0","2018-06-12 17:22:37","2018-06-12 17:22:37"
"512","275","6","0","2018-06-12 17:24:06","2018-06-12 17:24:06"
"513","275","4","1","2018-06-12 17:24:06","2018-06-12 17:24:06"
"514","276","2","0","2018-06-12 17:25:03","2018-06-12 17:25:03"
"515","276","6","1","2018-06-12 17:25:03","2018-06-12 17:25:03"
"516","277","2","0","2018-06-12 17:26:48","2018-06-12 17:26:48"
"517","277","3","1","2018-06-12 17:26:48","2018-06-12 17:26:48"
"518","278","4","1","2018-06-12 17:29:07","2018-06-12 17:29:07"
"519","278","6","0","2018-06-12 17:29:07","2018-06-12 17:29:07"
"520","279","5","0","2018-06-12 17:30:22","2018-06-12 17:30:22"
"521","279","4","1","2018-06-12 17:30:22","2018-06-12 17:30:22"
"522","280","2","0","2018-06-12 17:33:28","2018-06-12 17:33:28"
"523","280","3","1","2018-06-12 17:33:28","2018-06-12 17:33:28"
"524","281","6","0","2018-06-12 17:35:30","2018-06-12 17:35:30"
"525","281","5","1","2018-06-12 17:35:30","2018-06-12 17:35:30"
"526","282","2","1","2018-06-12 17:39:34","2018-06-12 17:39:34"
"527","282","6","0","2018-06-12 17:39:34","2018-06-12 17:39:34"
"528","283","4","0","2018-06-12 17:41:21","2018-06-12 17:41:21"
"529","284","5","0","2018-06-12 17:41:43","2018-06-12 17:41:43"
"530","284","3","1","2018-06-12 17:41:43","2018-06-12 17:41:43"
"531","285","6","1","2018-06-12 17:46:08","2018-06-12 17:46:08"
"532","285","3","0","2018-06-12 17:46:08","2018-06-12 17:46:08"
"533","286","4","0","2018-06-12 17:57:27","2018-06-12 17:57:27"
"534","286","5","1","2018-06-12 17:57:27","2018-06-12 17:57:27"
"535","287","5","0","2018-06-12 17:58:02","2018-06-12 17:58:02"
"536","287","4","1","2018-06-12 17:58:02","2018-06-12 17:58:02"
"537","288","3","1","2018-06-12 17:58:23","2018-06-12 17:58:23"
"538","288","5","0","2018-06-12 17:58:23","2018-06-12 17:58:23"
"539","289","5","1","2018-06-12 17:58:53","2018-06-12 17:58:53"
"540","289","6","0","2018-06-12 17:58:53","2018-06-12 17:58:53"
"541","290","5","1","2018-06-12 18:01:54","2018-06-12 18:01:54"
"542","290","6","0","2018-06-12 18:01:54","2018-06-12 18:01:54"
"543","291","4","0","2018-06-12 18:04:38","2018-06-12 18:04:38"
"544","291","5","1","2018-06-12 18:04:38","2018-06-12 18:04:38"
"545","292","4","0","2018-06-12 18:05:26","2018-06-12 18:05:26"
"546","293","2","1","2018-06-12 18:05:57","2018-06-12 18:05:57"
"547","293","6","0","2018-06-12 18:05:57","2018-06-12 18:05:57"
"548","294","4","1","2018-06-12 18:11:43","2018-06-12 18:11:43"
"549","294","2","0","2018-06-12 18:11:43","2018-06-12 18:11:43"
"550","295","6","1","2018-06-12 18:16:59","2018-06-12 18:16:59"
"551","295","4","0","2018-06-12 18:16:59","2018-06-12 18:16:59"
"552","296","2","0","2018-06-12 18:22:47","2018-06-12 18:22:47"
"553","296","3","1","2018-06-12 18:22:47","2018-06-12 18:22:47"
"554","297","6","1","2018-06-12 18:25:21","2018-06-12 18:25:21"
"555","297","2","0","2018-06-12 18:25:21","2018-06-12 18:25:21"
"556","298","4","0","2018-06-12 18:25:24","2018-06-12 18:25:24"
"557","299","6","0","2018-06-12 18:27:03","2018-06-12 18:27:03"
"558","299","4","1","2018-06-12 18:27:03","2018-06-12 18:27:03"
"559","300","5","0","2018-06-12 18:29:38","2018-06-12 18:29:38"
"560","300","6","1","2018-06-12 18:29:38","2018-06-12 18:29:38"
"561","301","4","0","2018-06-12 18:29:59","2018-06-12 18:29:59"
"562","301","6","1","2018-06-12 18:29:59","2018-06-12 18:29:59"
"563","302","4","1","2018-06-12 18:30:43","2018-06-12 18:30:43"
"564","302","6","0","2018-06-12 18:30:43","2018-06-12 18:30:43"
"565","303","2","0","2018-06-12 18:42:58","2018-06-12 18:42:58"
"566","303","5","1","2018-06-12 18:42:58","2018-06-12 18:42:58"
"567","304","4","0","2018-06-12 18:45:28","2018-06-12 18:45:28"
"568","305","4","1","2018-06-12 18:56:20","2018-06-12 18:56:20"
"569","305","6","0","2018-06-12 18:56:20","2018-06-12 18:56:20"
"570","306","6","1","2018-06-12 18:56:57","2018-06-12 18:56:57"
"571","306","2","0","2018-06-12 18:56:57","2018-06-12 18:56:57"
"572","307","2","0","2018-06-12 18:59:17","2018-06-12 18:59:17"
"573","307","3","1","2018-06-12 18:59:17","2018-06-12 18:59:17"
"574","308","3","1","2018-06-12 19:06:13","2018-06-12 19:06:13"
"575","308","4","0","2018-06-12 19:06:13","2018-06-12 19:06:13"
"576","309","3","1","2018-06-12 19:11:04","2018-06-12 19:11:04"
"577","309","2","0","2018-06-12 19:11:04","2018-06-12 19:11:04"
"578","310","4","1","2018-06-12 19:12:40","2018-06-12 19:12:40"
"579","310","6","0","2018-06-12 19:12:40","2018-06-12 19:12:40"
"580","311","5","1","2018-06-12 19:13:49","2018-06-12 19:13:49"
"581","311","4","0","2018-06-12 19:13:49","2018-06-12 19:13:49"
"582","312","5","0","2018-06-12 19:17:42","2018-06-12 19:17:42"
"583","312","6","1","2018-06-12 19:17:42","2018-06-12 19:17:42"
"584","313","5","1","2018-06-12 19:18:31","2018-06-12 19:18:31"
"585","313","2","0","2018-06-12 19:18:31","2018-06-12 19:18:31"
"586","314","3","0","2018-06-12 19:18:32","2018-06-12 19:18:32"
"587","314","5","1","2018-06-12 19:18:32","2018-06-12 19:18:32"
"588","315","6","1","2018-06-12 19:19:32","2018-06-12 19:19:32"
"589","315","5","0","2018-06-12 19:19:32","2018-06-12 19:19:32"
"590","316","6","0","2018-06-12 19:19:37","2018-06-12 19:19:37"
"591","316","5","1","2018-06-12 19:19:37","2018-06-12 19:19:37"
"592","317","6","0","2018-06-12 19:19:51","2018-06-12 19:19:51"
"593","317","4","1","2018-06-12 19:19:51","2018-06-12 19:19:51"
"594","318","5","1","2018-06-12 19:20:18","2018-06-12 19:20:18"
"595","318","6","0","2018-06-12 19:20:18","2018-06-12 19:20:18"
"596","319","6","1","2018-06-12 19:21:05","2018-06-12 19:21:05"
"597","319","5","0","2018-06-12 19:21:05","2018-06-12 19:21:05"
"598","320","4","0","2018-06-12 19:21:08","2018-06-12 19:21:08"
"599","320","6","1","2018-06-12 19:21:08","2018-06-12 19:21:08"
"600","321","4","1","2018-06-12 19:21:16","2018-06-12 19:21:16"
"601","321","6","0","2018-06-12 19:21:16","2018-06-12 19:21:16"
"602","322","4","0","2018-06-12 19:22:31","2018-06-12 19:22:31"
"603","322","2","1","2018-06-12 19:22:31","2018-06-12 19:22:31"
"604","323","4","0","2018-06-12 19:23:13","2018-06-12 19:23:13"
"605","323","2","1","2018-06-12 19:23:13","2018-06-12 19:23:13"
"606","324","6","1","2018-06-12 19:23:59","2018-06-12 19:23:59"
"607","324","4","0","2018-06-12 19:23:59","2018-06-12 19:23:59"
"608","325","2","0","2018-06-12 19:24:03","2018-06-12 19:24:03"
"609","325","6","1","2018-06-12 19:24:03","2018-06-12 19:24:03"
"610","326","2","0","2018-06-12 19:24:41","2018-06-12 19:24:41"
"611","326","3","1","2018-06-12 19:24:41","2018-06-12 19:24:41"
"612","327","4","0","2018-06-12 19:26:23","2018-06-12 19:26:23"
"613","327","6","1","2018-06-12 19:26:23","2018-06-12 19:26:23"
"614","328","4","1","2018-06-12 19:33:49","2018-06-12 19:33:49"
"615","328","2","0","2018-06-12 19:33:49","2018-06-12 19:33:49"
"616","329","4","0","2018-06-12 19:34:17","2018-06-12 19:34:17"
"617","329","3","1","2018-06-12 19:34:17","2018-06-12 19:34:17"
"618","330","2","1","2018-06-12 19:47:43","2018-06-12 19:47:43"
